clase,descripcion
11,difusor eléctrico de fragancias
11,dispensador (aparato automático-) adaptado al w.c. de protectores higiénicos
11,dispositivo de distribución de agua que incorpora un sensor de temperatura
11,"elementos calefactores a base de vapor químicamente activado para
proporcionar calor al cuerpo que no sean para uso médico"
11,enfriadores eléctricos de bebidas
11,equipo de osmosis inversa
11,esterilizadores (aparatos -) para uso médico
11,extractor de olores y gérmenes para cuartos de baño
11,fluxómetro
11,focos de iluminación
11,fuentes de calor para cacerolas de fondue
11,fuentes para derretir chocolate
11,grifos eléctricos
11,grifos electrónicos de medición
11,guirnaldas de luces eléctricas para árboles de Navidad
11,hieleras eléctricas no portátiles
11,instalaciones hidro óptica para el alumbrado subacuático
11,instalaciones para el alumbrado subacuático
11,lámparas con fuente de luz para endurecer geles en uñas
11,lámparas de escritorio
11,lámparas de trabajo
11,linternas de bolsillo
11,linternas de seguridad
11,luces de seguridad de respaldo para uso en caso de fallas de energía
11,luces para armas de fuego
11,mamparas para cabinas de ducha
11,manerales
11,máquinas generadoras de hielo seco para efectos especiales
11,mecheros de laboratorio
11,mecheros para fondue
11,paneles especiales adaptados para bañera
11,parrilla-carrito para la preparación de alimentos
11,pedestales para lavamanos [no mueble]
11,percolador eléctrico
11,puertas para cabinas de duchas
11,regaderas para baño
11,sala limpia [instalaciones sanitarias]
11,sandwichera eléctrica
11,secadora que incorpora lavadora [centro de lavado]
11,tapas para escusados (w.c.)
11,tarjas
11,veladoras eléctricas
11,ventiladores de techo
11,vestimenta electrotérmica
11,waflera eléctrica
11,woks [eléctricos]
12,alforjas especiales para motocicleta
12,almohadillas de frenos para vehículos terrestres
12,areneros [vehículos]
12,balero [cojinete] para ruedas de vehículos
12,basurero adaptado al vehículo
12,birlos para rines de vehículos
12,bobina para cinturones de seguridad de vehículos terrestres
12,bolsas organizadoras especialmente adaptadas para vehículos
12,bujes para suspensión de vehículos
12,cable [chicote] para acelerador de vehículos
12,cajas organizadoras especialmente adaptadas para vehículos
12,carriolas para pasear mascotas
12,carro transportador de carga
12,chicote de clutch para vehículos
12,chicotes de frenos de acelerador para vehículos
12,chicotes de frenos de mano
12,cojinete para ruedas de vehículos terrestres
12,"dispositivos portátiles para manejar vehículos automáticos usados por
personas con discapacidad"
12,espejo retrovisor para bebés especialmente adaptados para autos
12,flechas para la fijación de hélices de barcos
12,fuselaje
12,juntas homocinéticas para vehículos terrestres
12,laminillas de caucho limpiadoras de parabrisas
12,llantas no neumáticas para vehículos
12,mangueras para frenos de vehículos
12,mazas para ruedas de vehículos
12,organizadores de documentos especialmente adaptados para vehículos
12,"organizadores especialmente adaptados al vehículo utilizados debajo de los
asientos"
12,palancas de velocidades para vehículos
12,patines mecánicos para carga
12,pernos para rines de vehículos
12,persiana para vehículos
12,rotor para hélice
12,rotores del disco de frenos para vehículos terrestres
12,rotulas de suspensión para vehículos terrestres
12,seguros antirrobo para uso en volantes de vehículos
12,soporte para el mecanismo del limpiaparabrisas
12,spoilers para vehículos
12,tambores para frenos
12,tornillos estabilizadores para suspensión de vehículos terrestres
12,travesaño de desgaste para vehículos
12,tren motriz para vehículos terrestres
12,varillas de dirección de vehículos terrestres
12,volante de inercia
13,dispositivo portátil de defensa personal para la inhabilitación de personas
13,dispositivo portátil de diodos emisores de luz para defensa personal
13,funda para pistolas
14,bisutería para teléfono celular [no parte intrínseca del aparato] [adornos]
14,broches de metales preciosos para corbatines [bolo ties]
14,cadenas de piel para llaves [llaveros]
14,carrete retráctil para llaves [llaveros]
14,cordones/ cuerdas para llaves [llaveros
14,escapularios religiosos
14,hebillas para correas de relojes
14,joyería [artesanal] ART
14,joyería de chaquira ART
14,joyería para mascotas
14,lazos de bisutería o joyería para bodas
14,llaveros de alacrán [artesanías] ART
14,llaves para dar cuerda a los relojes
14,mancuernillas
14,pernos para relojes
14,saquitos (bolsitas) especialmente adaptados a relojes
15,arpa jarocha ART
15,ayoyote [instrumento musical] ART
15,bastón conductor [batuta]
15,birimbaos [instrumentos musicales]
15,bombos [instrumentos musicales]
15,cajón de tapeo [instrumento musical]
15,chapereque [instrumento musical] ART
15,chinchines [sonaja instrumento musical] ART
15,chirimía [instrumento musical] ART
15,cuernos [instrumentos musicales]
15,guitarrón [instrumento musical]
15,huéhuetl [instrumento musical] ART
15,instrumentos musicales para pascola ART
15,jarana [instrumento musical]
15,maracas de guaje [instrumento musical] ART
15,marimbas [instrumentos musicales]
15,marimbol [instrumento musical]
15,multitenores [instrumentos musicales para bandas de guerra]
15,pandero [instrumento musical]
15,quinta huapanguera [instrumento musical]
15,salterio [instrumento musical]
15,silbato zoomorfo [instrumento musical] ART
15,sonaja [instrumento musical]
15,tamborita [instrumento musical]
15,tarolas [instrumentos musicales] ART
15,teponaztli / teponaztle [instrumento musical] ART
15,tochacatl / toxacatl [instrumento musical]
15,violín rarámuri ART
16,agendas impresas
16,agitadores de pintura [material de artistas]
16,álbum para coleccionar monedas
16,bastidores para lienzo [material para artistas]
16,bolsas de tela para regalos
16,bolsas plásticas para el cultivo de plantas
16,cápsulas de papel o cartón para embalar productos alimenticios [vacías]
16,cordones /cuerdas para gafetes y tarjetas de identificación
16,diamantina para uso de papelería
16,etiquetas transferibles con calor que no sean de tela
16,figuras de cartón y papel de popocatla ART
16,hojas de foami [artículos de papelería]
16,letras y números de papel o cartón
16,listones decorativos para envolver
16,mangas de papel o cartón para vasos
16,nierikas [cuadros bordados de estambre] ART
16,palitos de madera para la elaboración de manualidades
16,papel amate ART
16,papel con electrotipos
16,papel lija para patinetas
16,papel picado
16,papel tratado para uso en la cocina
16,pintura en papel amate [artesanía] ART
16,plastilina epóxica para modelar y decorar figuras de resina
16,plastilinas
16,porta chequeras
16,portachequeras de cuero
16,"recipientes de papel o de papel laminado con material plástico para embalaje
de helados"
16,repuesto de felpa para rodillos de pintores de obra
16,silicón vendido en tubo
16,sombrillas de papel para cocteles [adorno]
16,tarjetero de escritorio
17,impermeabilizante en hojas prefabricadas para construcciones
17,impermeabilizante en lámina prefabricada para construcciones
17,impermeabilizante en rollo prefabricado para construcciones
17,membranas de protección para el aislamiento de filtración del agua
18,báculos
18,bolsas [artesanal] ART
18,bolsas de chaquira ART
18,bolsas para transportar mascotas
18,cangureras [artesanal] ART
18,correllones para espuelas [artesanal] ART
18,estuches/bolsas cosmetiqueras vacías
18,forro de cuero para calzado
18,forros de cuero para bolsas
18,morrales [artesanal] ART
18,neceseres [equipaje]/ neceseres de equipaje
18,pañaleras
18,portatarjetas para equipaje
18,talegas [bolsas]
19,adobe para la construcción ART
19,barras no metálicas manuales para estacionamiento
19,cabinas fotográficas no metálicas [estructura]
19,calicantos
19,cancel no metálico para la construcción
19,cubiertas hechas a la medida para albercas [construcciones no metálicas]
19,junteador [material de construcción que no sea adhesivo]
19,ladrillo de adobe para la construcción ART
19,lavadero de mampostería
19,losas de vidrio para la construcción
19,losetas de barro horneado para la construcción
19,madera contrachapada para la construcción
19,mallas geosintéticas plásticas para la construcción
19,material térmico prefabricado de construcción no metálico
19,pastas texturizadas [material de construcción]
19,placas de piedra (objetos de decoración)
19,polvos de cantera para construcción
19,rejas no metálicas
19,rejillas de mampostería para desagüe [tapas de boca de inspección]
19,rejillas no metálicas para drenaje de albercas [mampostería]
19,tabicones no metálicos para la construcción
19,tejas de media caña [artesanal] ART
19,tejas de vidrio para la construcción
19,vigas de madera semielaboradas para la construcción
2,achiote [pigmento] / axiote [pigmento] ART
2,goma de pino [resina natural en bruto]
2,recubrimientos texturizados a base de pintura
20,angarias / angarillas [cestos artesanales] ART
20,"artículos de cestería de carrizo, mimbre y bejuco ART"
20,asientos portátiles para bañeras
20,bambinetos [camas para bebe]
20,barcinas ART
20,barreras no metálicas de control para multitudes
20,barreras para bebés [corrales]
20,base de cama [box spring]
20,bastidor no metálico para el cultivo de plantas
20,bastidores de revistas
20,bastidores de ropa
20,bolsas de plástico organizadoras [zapateras] para el closet
20,bordes de materias plásticas para protección de esquinas de muebles
20,bordes de plástico para jardinería
20,cajas de madera de lináloe ART
20,cajitas pintadas con técnica de marquetería [artesanales] ART
20,cama americana [box americano]
20,cama deslizable para mecánicos
20,cama-banco desplegable para mecánicos
20,camas eléctricas de masaje que no sean para uso médico
20,camas inteligentes que no sean para uso médico
20,cambiadores para bebés [muebles de pared]
20,canastas de pesca
20,canastos de palma ART
20,cápsulas de materias plásticas para embalar productos alimenticios [vacías]
20,carros para herramientas
20,casa transportadora para mascotas
20,cáscaras de huevo grabados o pintados
20,catres
20,cestas de popotillo para contener agua ART
20,cestas de torote y ocotillo para contener agua ART
20,cestería de palmilla y sotol [artesanales] ART
20,cestos de carrizo ART
20,cestos de palma [artesanales] ART
20,cestos para la pesca [banasta]
20,clips exhibidores de fotografías [portarretratos]
20,cojines para amamantar
20,colchoncillos de cuna para evitar golpes
20,cortineros
20,doseles para camas [estructuras de cama]
20,envases de plástico para uso comercial o industrial [contenedores]
20,equipales [sillón] ART
20,espejos de mobiliario
20,espejos de tocador
20,espejos de vanidad
20,estaciones o celdas de trabajo [mobiliario]
20,exhibidores que no sean de papel o cartón [muebles]
20,figuras de materias plásticas navideñas [excepto para árboles de Navidad]
20,figuras decorativas de polímero termoplástico [foami]
20,"figuras inflables de materias plásticas navideñas [excepto para árboles de
Navidad]"
20,figuras inflables decorativas
20,figuritas hechas de paja para nacimientos
20,gabinetes de madera para resguardar y proteger iconos religiosos.
20,galerías para cortinas
20,galerías para cortineros
20,guarniciones [herrajes] para cortineros
20,"letras y números de materias plásticas, excepto caracteres de imprenta"
20,manteles de madera
20,manteles de paja
20,marcos de papel o cartón para cuadros
20,marialuisas [marcos] para fotografías y pinturas
20,mecedora para bebés
20,mecedoras de cedro rojo [artesanales] ART
20,muebles artesanales con hojas de palmita ART
20,muebles de camping
20,muebles de cuero y madera [artesanales] ART
20,muebles exhibidores de cartón para productos
20,muebles para cocinas integrales
20,objetos de arte tallados en madera [artesanal] ART
20,organizadores [accesorios para closets]
20,organizadores de calzado [muebles]
20,organizadores de plástico para zapatos [zapateras]
20,organizadores de tela para zapatos [zapateras]
20,"pads de silicona antideslizantes para colocar diversos objetos [no adaptado al
producto]"
20,palitos de madera para paletas
20,pasamanos para ducha no metálicos
20,periqueras para bebés [silla para comer]
20,persianas de interior
20,placas decorativas para fotografías [portarretratos]
20,plastiflechas de plásticos
20,portarretratos
20,portarretratos en forma de clips
20,protecciones de materias plásticas para bordes de muebles
20,puertas no metálicas de seguridad para niños
20,racks para prendas de vestir
20,rejillas de materias plásticas para desagüe [tapas de boca de inspección]
20,remates para cortineros
20,revestimiento de materias plásticas para forrar cajones de muebles
20,separadores de plástico para la instalación de pisos y azulejos
20,sillas portabebés
20,tableros de melamina para revestir muebles
20,taburete para w.c.
20,tanque no metálico para remojar vajillas
20,tapas dispensadoras de materias plásticas para frascos
20,tapetes para fregadero
20,tapón atomizador de plástico para recipientes [válvulas]
20,tapones no metálicos para desagüe
20,tarimas de cartón
20,tarjetas de plástico no codificadas ni magnéticas
20,tejos de mimbre [artesanales] ART
20,tinacos [tanques no metálicos ni de mampostería]
20,válvulas atomizadoras de materias plásticas
20,válvulas de materias plásticas para aerosoles
20,zapateras [muebles]
21,almohadillas para maquillaje
21,anafre [utensilio de cocina]
21,árbol de la vida [escultura de barro policromado] ART
21,aros para sostener plantas [macetas]
21,baldes exprimidores de trapeador
21,bandejas de barro para uso doméstico
21,barreños de cocina
21,bolsa isotérmica para la compra
21,bolsas de tela para alimentos
21,bombas manuales [destapacaños]
21,botella decorativa rellena de arena
21,botellas decorativas
21,bules / guajes [recipientes utilizados para transportar líquidos] ART
21,cacerolas para fondue sin fuente de calor
21,canastilla organizadora de accesorios de baño
21,canastillas portautensilios de tocador para el baño
21,cántaros de barro
21,centrifugador de lechuga no eléctrico
21,cepillo de uso rudo para la aplicación de pintura e impermeabilizantes
21,cepillo eléctrico para pedicura
21,cepillo en forma de zapatos para exfoliar
21,cepillo para quitar magnesia en instalaciones de escalada [artículos de deporte]
21,cepillos para limpiar alimentos [utensilio doméstico]
21,cepillos para limpiar instrumentos médicos
21,cepillos para remoción de ceras de tablas de surf
21,charola de papel o cartón portavasos
21,charola o molde de capacillos para hornear
21,chashaku [pala de bambú para té]
21,comal [utensilio de cocina]
21,comedero para animales integrado en un tapete
21,cubetas exprimidoras de trapeadores
21,destapacaños de ventosa
21,distribuidores portátiles de bolsas para excremento de perros
21,dulceros [recipientes]
21,enfriadores portátiles no eléctricos de bebidas
21,envases de plástico para uso doméstico
21,escalfadores de huevos
21,escobillas a base de ixtle de lechuguilla [artesanales] ART
21,escurridor de loza
21,espátulas para preparar crepas
21,estatuillas de barro [adornos]
21,estropajo
21,exfoliante para la piel [instrumento manual de uso doméstico]
21,fibras naturales para limpieza
21,figuras de barro bruñido ART
21,figuritas de barro para adorno
21,floreros de alabastro [artesanales] ART
21,frascos atomizadores
21,garrafas de vidrio
21,guante desechable para comer con la mano de uso doméstico
21,guantes para sostener cosas calientes para uso doméstico
21,hieleras portátiles no eléctricas
21,instrumento de irrigación para limpiar los dientes y las encías de uso doméstico
21,"instrumentos de limpieza de dientes y encías a base de irrigación para uso
doméstico"
21,jaladores [instrumentos de limpieza]
21,jarras de barro
21,jarrón de barro negro ART
21,jarrones de barro
21,jarrones de barro para beber
21,jícara [vasija]
21,loncheras
21,macetas [tiestos] de barro
21,macetas de barro de siete colores ART
21,mallas higiénicas que no sean de papel para pisos de jaulas de mascotas
21,mangas que no sean de papel o cartón para vasos
21,mangas térmicas desmontables para latas y botellas
21,metate [utensilio de cocina] ART
21,molcajete de madera de mesquite [artesanales] ART
21,molcajetes [utensilio de cocina] ART
21,moldes de papel o cartón para hornear
21,morro [jícara] ART
21,musu [esponja] ART
21,objetos de arte de barro ART
21,ollas de barro ornamentales ART
21,ollas de barro para cocinar
21,ollas de cocción de fondue no eléctricas
21,"paños de fibras sintéticas de uso personal para la limpieza y embellecimiento
del cuerpo"
21,paños de limpieza en seco especiales para lentes
21,paños para exfoliar la piel
21,pastilleros [dulceros]
21,peceras de interior de uso doméstico
21,percoladoras no eléctricas
21,pichancha / tlalchiquihuite [olla de barro para lavar nixtamal] ART
21,piedras para calentar bebidas [utensilios]
21,piedras para enfriar bebidas [utensilios]
21,pinzas para tapas calientes para el té
21,platos de barro de siete colores ART
21,platos decorativos
21,"portavasos no de papel, ni de ropa de mesa"
21,portavelas
21,ralladores de queso de uso doméstico
21,recipiente de plástico reutilizable con pivote y tapadera para uso doméstico
21,recipientes para dulces [dulceros]
21,"recipientes para que defequen las mascotas de uso doméstico [lechos
higiénicos]"
21,recogedores
21,recogedores de desecho de mascotas
21,redes para limpieza de albercas
21,regaderas para flores de uso doméstico
21,rodillo para remover la pelusa [instrumento manual para limpiar]
21,sandwichera no eléctrica
21,secadoras de ensaladas no eléctricas [utensilio de cocina]
21,separador de dedos para pedicura
21,sifones para garrafones de agua de uso doméstico
21,soplador de palma [utensilio de cocina]
21,soporte para cubertería de mesa
21,soportes colgantes para plantas [macetas]
21,soportes para bolsas de compras
21,soportes para velas [candeleros]
21,sujetadores para bolsas de compras
21,tabla para lavar ropa
21,tamalera [olla de cocción]
21,tapas de barro para ollas
21,tapones de vidrio para botellas
21,tarugos para sostener cosas calientes
21,tazas alimentadoras para bebés
21,tazas entrenadoras para bebés
21,tejolote [utensilio de cocina]
21,telas para limpiar calzado
21,temolote [utensilio de cocina]
21,tenazas para cocinar
21,tenazas para la cocina
21,tenedor para servir
21,tibores [jarrones]
21,tortilladoras manuales para uso domestico
21,tortillero de palmilla [artesanales] ART
21,tortilleros [recipientes]
21,trapeadores con dispensador de jabón
21,trituradores de ajos no eléctricos [utensilios de cocina]
21,utensilios no eléctricos enfriadores de bebidas
21,vajillas de barro
21,waflera no eléctrica
21,woks [no eléctrico]
21,zacate de limpieza [estropajo]
22,bolsas de peso para casas de campaña y carpas
22,bolsas de seguridad de plástico para transportar dinero
22,cordones para cortinas y persianas
22,flejes de plástico [cintas para atar]
22,flejes no metálicos [cintas para atar]
22,ixtle / pita [fibra natural] ART
22,"saquitos / bolsas textiles para el cultivo de plantas, flores o arbustos"
22,sogas para jinetes
23,estambre
23,hilados de la ribera (artesanales)
23,hilos metálicos para bordar
24,cobijas [artesanal] ART
24,doseles [pabellones]
24,edredones [ropa de cama]
24,etiquetas adhesivas de tela
24,figuras de fieltro con fines ornamentales
24,figuras de trapo [adorno]
24,frazada [cobija]
24,fundas de materiales textiles para aparatos electrodomésticos
24,fundas de materias textiles para botellas
24,fundas textiles para cubrir utensilios de casa
24,fundas textiles para cubrir vajillas
24,manta para la lactancia
24,mantas para mascota
24,mezclilla
24,muestrario de telas
24,obras de arte de materias textiles
24,paliacate [pañuelo]
24,paño de tela con revestimiento de plástico para bebés [repetidores]
24,protectores de colchón [ropa de cama]
24,ropa de cama de papel
24,sábanas para envolver cadáveres
24,sarape [frazada] ART
24,telas ignífugas para la manufactura de vestimenta
24,textiles de fibra (ixtle) ART
25,alpargatas chillonas ART
25,anorak
25,batas de baño
25,bermudas [prendas de vestir]
25,blusas con diseños bordados con el punto de cruz (artesanal) ART
25,chamarras rompeviento [prendas de vestir]
25,chaparreras [vestuario]
25,corbatín [prenda de vestir]
25,cubrezapatos para protección del calzado que no sean para uso quirúrgico
25,cueitl ART
25,esclavina
25,fajas bordadas artesanales ART
25,faltriqueras [bolsillos parte de la prenda de vestir]
25,filipinas
25,guantes para jinetes
25,guayaberas ART
25,huaraches (calzado artesanal) ART
25,huaraches [sandalias]
25,huaraches de chaquira ART
25,huaraches de palma ART
25,huaraches de piel ART
25,huipiles /hipil [vestimenta] ART
25,ilpicatl (fajas) ART
25,kipá
25,mallones [prenda de vestir]
25,mañanita [prenda de vestir]
25,mangas [prendas de vestir]
25,mascadas
25,mitazas ART
25,monos para la nieve [prendas de vestir]
25,muñequeras [prendas de vestir]
25,paliacate [prenda vestir]
25,pañoleta
25,prendas de vestir bordadas [ xok bi chuy] ART
25,prendas de vestir que incorporan periféricos informáticos
25,"prendas de vestir que no sean de protección con elementos o materiales
reflectantes o fluorescentes"
25,pretinas
25,protectores para las axilas en prendas de vestir
25,quechquemitl [prenda de vestir] ART
25,rebecas [ropa]
25,rebozos
25,ropa moldeadora
25,ropa tradicional de piel de venado con chaquira (ropa artesanal) ART
25,saltillos (sarape) ART
25,sarape/ jorongo ART
25,sombrero de charro ART
25,sombrero de cuatro pedradas [sombrero de palma] ART
25,sombreros de soyate ART
25,tehuas/ teguas ART
25,trajes regionales [vestuario] ART
26,ballenas para camisas de vestir
26,bandas tobilleras sujetadoras de pantalón para ciclistas
26,gomas (ligas) para el cabello [adorno]
26,palillos de adorno para el cabello
26,peinetas [adorno para el cabello]
26,"pinzas para ondular el cabello/pinzas, rulos, tubos para ondular el cabello"
26,ramos de flores artificiales para novias
26,toquillas para adorno de sombreros
27,apliques decorativos antideslizantes para baños [tapetes de baño]
27,cintas antiderrapantes
27,figuras antiderrapantes / antideslizantes para para bañeras
27,petate [esteras de palma]
27,tapetes [artesanal]
28,"aerosoles químicos de pulverización para marcación temporal [excepto
pinturas]"
28,aparatos de escaleras para ejercicios físicos
28,arneses de seguridad para equipo deportivo
28,brea de pino para deportistas [colofonia]
28,caballos para gimnasia [arzones]
28,caminadoras [artículo de deporte]
28,camuflaje olfativo para la caza
28,capuchones contra la lluvia para bolsas de golf
28,carros montables [juguetes]
28,controles para aparatos de videojuegos
28,correas para bolsas de golf
28,correas para guantes de béisbol
28,crema para el agarre de pesas y barras [artículo de deporte]
28,cubiertas hechas a la medida para albercas portátiles
28,cubiertas para bolsas de golf
28,dispensador electrónico para jugar cartas
28,empuñaduras de resorte para ejercicio muscular
28,equipo electrónico para jugar cartas
28,escalones para hacer gimnasia [artículos de gimnasia]
28,fajas para sudar [artículo de deporte]
28,flotadores de uso recreativo
28,fundas para palos de golf
28,fundas protectoras especialmente adaptadas para aparatos de videojuegos
28,"fundas protectoras especialmente adaptadas para controles de aparatos de
videojuegos"
28,globo de cantoya
28,guantes para pesas [artículos de deporte]
28,huevos rellenos de confeti [artículo de cotillón]
28,juego mecánico montable accionados con monedas
28,juegos (máquinas de -) automáticas de previo pago
28,juegos mecánicos para diversión
28,juguete montable para niño
28,juguetes didácticos
28,juguetes para el arreglo personal de niñas
28,lectores de movimiento para juegos
28,máscaras artesanales regionales ART
28,máscaras partes de trajes típicos ART
28,máscaras populares mexicanas ART
28,micas protectoras para pantallas de videojuegos portátiles
28,mulitas de juguete ART
28,muñecas de trapo artesanal [juguete] ART
28,muñecos de trapo [juguetes]
28,muñequera de protección para el deporte
28,peras de golpeo para box
28,pesas de balanceo para bates [artículos de deporte]
28,pirinola ART
28,plataformas de despegue para salto de altura
28,portaetiquetas adaptadas a las bolsas de golf
28,porterías de futbol
28,postes de goles de campo
28,remos [aparatos para ejercicio]
28,ruedas para patinetas
28,serpentinas de papel para fiestas
28,serpentinas en aerosol para fiestas
28,snorkels
28,sonaja para bebés [juguetes]
28,tapetes para consolas de juegos
28,tobillera [artículo de deporte]
28,vendas [artículo de deporte]
28,vestimenta para figuras religiosas
29,aceite de cártamo
29,aceites para freír
29,aceites salados
29,acitrón [confitura]
29,acocil no vivo [crustáceo de agua dulce] PRA
29,aguachile [crustáceos preparados] PRA
29,ajos en escabeche [conservas]
29,alcachofas preparadas
29,alimentos a base de papa
29,almeja chocolata preparadas PRA
29,aporreadillo [alimento a base de carne] PRA
29,arándano endulzado
29,arrachera PRA
29,asado de boda [cerdo en salsa] PRA
29,asiento [manteca de cerdo]
29,ayocote en conserva [leguminosa]
29,ayomole [guisado a base de calabaza pipiana] PRA
29,baba de caracol para uso alimenticio
29,banderillas [salchicha rebozada]
29,barbacoa [carne preparada]
29,barbacoa de pozo PRA
29,barras a base de frutas
29,barras a base de nueces y frutas secas
29,barras a base de semillas y nueces
29,barritas a base de semillas y frutos secos
29,bebida a base de yogurt congelado
29,bebidas a base de granos [sucedáneos de la leche]
29,bebidas a base de leche con adición de café
29,bebidas a base de semillas y frutos secos [sucedáneos de la leche]
29,bebidas de bacterias de ácido láctico que no sean para uso médico
29,bichicoris [trozos de calabaza seca] PRA
29,birria [carne preparada]
29,botanas a base de chícharos deshidratados
29,botanas a base de fruta y soja
29,botanas a base de frutas deshidratadas
29,botanas a base de leguminosas deshidratadas
29,botanas a base de papa
29,botanas a base de plátano
29,botanas a base de soya
29,botanas a base de vegetales deshidratados
29,bótil en conserva [leguminosa]
29,cabrito al ataúd PRA
29,cabrito al pastor PRA
29,cabrito asado PRA
29,cabuches en conserva [flor de biznaga] PRA
29,cacahuate enchilado
29,cacahuate estilo japonés
29,cacahuate salado
29,caldillo fiscaleño PRA
29,caldo de bote PRA
29,caldo de carpa PRA
29,caldo de chacales [langostinos de agua dulce] PRA
29,caldo de guías PRA
29,caldo de langostino [sopa de langostinos con verduras] PRA
29,caldo de oso [botana de frutas y verduras con vinagre de piña] PRA
29,caldo de piedra PRA
29,caldo de rata de campo PRA
29,caldo de shuti PRA
29,caldo michi [sopa de pescado] PRA
29,camarones a la cucaracha PRA
29,camarones en salsa de curry PRA
29,camote [confitura]
29,camote preparado
29,cangrejo real preparado PRA
29,capón PRA
29,carne de borrego preparada tipo barbacoa
29,carne de carnero preparada tipo barbacoa
29,carne de conejo PRA
29,carne deshidratada
29,carne en pulque PRA
29,carne para hamburguesa
29,carne salada con chaya PRA
29,carne zaraza PRA
29,carnes frías
29,carnitas [carne de cerdo preparada]
29,cecina [carne salada]
29,cerdo al ataúd PRA
29,ceviche [pescado u otros mariscos cocidos en cítricos]
29,ceviche de caracol PRA
29,chacales / chicales / chuales [caldo a base de maíz] PRA
29,chalés [ trozos pequeños de chicharrón dorado] PRA
29,chamoy [fruta seca salada]
29,chanfaina PRA
29,chapulines no vivos [insectos comestibles]
29,chayote en conserva
29,chía en polvo para uso alimenticio
29,chicales en salsa roja PRA
29,chicatanas no vivas [insecto comestible] PRA
29,chicharrón de cerdo
